BOM SandCam V2,,,,,,,,,,,,
Major Components,,,,,,,,,,,,
Item,Price per Unit,Manufactuer,Procurment Type ,ID Number,Link,,,,,,,
Polycase WQ-57 ,$433.10 ,Polycase,CNC,NA,NA,,,,,,,
Raspberry Pi 4 Model B - 2 GB RAM,$45.00 ,Adafruit,Off-The-Shelf,4292,https://www.adafruit.com/product/4292,,,,,,,
SanDisk 32GB Micro SD card,$10.19 ,Amazon,Off-The-Shelf,NA,https://www.amazon.com/SanDisk-Extreme-microSDHC-UHS-3-SDSQXAF-032G-GN6MA/dp/B06XWMQ81P/ref=sr_1_6?crid=3RCLWANKZ9E0G&keywords=32gb%2Bmicro%2Bsd%2Bcard&qid=1647475229&sprefix=32gb%2Bmicro%2Caps%2C86&sr=8-6&th=1,,,.,,,,
6mm 3MP Wide Angle Lens for Raspberry Pi HQ Camera - 3MP,$25.00 ,Adafruit,Off-The-Shelf,4563,https://www.adafruit.com/product/4563,,,,,,,
Raspberry Pi High Quality HQ Camera - 12MP,$50.00 ,Adafruit,Off-The-Shelf,4561,https://www.adafruit.com/product/4561,,,,,,,
USB Battery Pack for Raspberry Pi - 10000mAh - 2 x 5V outputs,$39.95 ,Adafruit,Off-The-Shelf,1566,https://www.adafruit.com/product/1566,,,,,,,
"Pi Foundation Display - 7"" Touchscreen Display for Raspberry Pi",$79.95 ,Adafruit,Off-The-Shelf,2718,https://www.adafruit.com/product/2718,,,,,,,
Adafruit Ultimate GPS HAT for Raspberry Pi A+/B+/Pi 2/3/Pi 4 - Mini Kit,$29.95 ,Adafruit,Off-The-Shelf,2324,https://www.adafruit.com/product/2324,,,,,,,
GPS Antenna - External Active Antenna - 3-5V 28dB 5 Meter SMA,$19.95 ,Adafruit,Off-The-Shelf,960,https://www.adafruit.com/product/960,,,,,,,
NeoPixel Ring - 24 x 5050 RGB LED with Integrated Drivers,$16.95 ,Adafruit,Off-The-Shelf,1586,https://www.adafruit.com/product/1586,,,,,,,
Google Coral USB Accelorator,$59.99 ,Google,Off-The-Shelf,NA,https://coral.ai/products/accelerator,,,,,,,
Total Component Costs,$810.03 ,,,,,,,,,,,
3D printable Components,,,,,,,,,,,,
Item,Length,Width,Height,Recommended Printer,Recommended Resin,Volume/Print Time/Layers,Link,,,,,
Camera Hood,126mm,126mm,138.8mm,Form 3+,Tough 1500 Resin,310ml/30.5 hrs/1647,https://github.com/UNCG-DAISY/SandCam/blob/main/hardware/V2/Camcover.stl,,,,,
Screen Bracket,140mm,10mm,12.6mm,Form 3+,Tough 1500 Resin,34.2ml/8.5 hrs/858,https://github.com/UNCG-DAISY/SandCam/blob/main/hardware/V2/screenbracket.stl,,,,,
LED Mount,74mm,74mm,4mm,Form 3+,Tough 1500 Resin,9.74ml/5.45 hrs/659,https://github.com/UNCG-DAISY/SandCam/blob/main/hardware/lightmount.stl,,,,,
Hardware,,,,,,,,,,,,
Item,Size,Length,Quantity,Unit of Measure,Unit Price,Total Cost,Manufacturer,Item Number,Webiste,,,
18-8 Stainless Steel Socket Head Screw,M2.5,12mm,8,1 pack of 100 each,$6.54 ,$6.54 ,McMaster-Carr,91292A016,,,,
Stainless Steel Female Hex Standoff,M2.5,10mm,8,each,$1.32 ,$5.28 ,McMaster-Carr,94868A165,,,,
Stainless Steel Male Hex Standoff,M2.5,16mm,4,each,$4.82 ,$19.28 ,McMaster-Carr,93655A353,,,,
18-8 Stainless Steel Socket Head Screw,M2.5,6mm,20,1 pack of 100 each,$6.00 ,$6.00 ,McMaster-Carr,91292A010,,,,
18-8 Stainless Steel Socket Head Screw,M3 x 0.35mm,8mm,4,1 pack of 100 each,$9.27 ,$9.27 ,McMaster-Carr,90751A111,,,,
18-8 Stainless Steel Socket Head Screw,"1/4"" - 20","1""",4,1 pack of 50 each,$30.52 ,$30.52 ,McMaster-Carr,92196A542,,,,
18-8 Stainless Steel Socket Head Screw,M5 x 0.8mm,12mm,4,1 pack of 100 each,$12.62 ,$12.62 ,McMaster-Carr,91292A125,,,,
Choose-a-Color Unthreaded-Hole Pull Handles,4 3/4'',NA,2,each,$10.42 ,$20.84 ,McMaster-Carr,1950A5,,,,
Stainless Steel Male Hex Standoff,M2.5,10mm,4,each,$4.26 ,$17.04 ,McMaster-Carr,93655A096,,,,
Brass M2.5 Standoffs for Pi HATs - Black Plated - Pack of 2,M2.5,11mm,4,1 pack of 2 each,$0.75 ,$1.50 ,AdaFruit,2336,https://www.adafruit.com/product/2336,.,,
Metric 18-8 Stainless Steel Hex Nuts,M2.5,NA,12,1 pack of 100 each,$7.18 ,$7.18 ,McMaster-Carr,91828A113,,,,
Metric 18-8 Stainless Steel Hex Nuts,M5 x 0.8,NA,4,1 pack of 100 each,$9.14 ,$9.14 ,McMaster-Carr,91828A241,,,,
18-8 Stainless Steel Hex Nuts,"1/4"" - 20",NA,4,1 pack of 100 each,$7.16 ,$7.16 ,McMaster-Carr,91845A029,,,,
weather stripping, 1/4'' wide, 1/8'' thick, 532mm, 49 feet, $9.99, $9.99, Mikoso Store, N/A, https://www.amazon.com/dp/B0836Z1HN7/ref=cm_sw_r_apan_glt_i_WZYNVJH8T8CGN9EP6VX2
,,,,,Total Hardware Costs,$152.37 ,,,,,,
,,,,,,,,,,,,
TOTAL COST,$962.40 ,,,,,,,,,,,
,,,,,,,,,,,,
Cart List,,,,,,,,,,,,
http://www.adafruit.com/wishlists/543790,,,,,,,,,,,,
https://www.mcmaster.com/order/rcvRtedOrd.aspx?ordid=6706876626400&lnktyp=txt,,,,,,,,,,,,
